trddy,600000.SH,600028.SH,600030.SH,600031.SH,600036.SH,600048.SH,600050.SH,600104.SH,600196.SH,600276.SH,600309.SH,600436.SH,600438.SH,600519.SH,600547.SH,600570.SH,600585.SH,600588.SH,600690.SH,600745.SH,600809.SH,600837.SH,600887.SH,600893.SH,600900.SH,601012.SH,601066.SH,601088.SH,601138.SH,601166.SH,601211.SH,601288.SH,601318.SH,601336.SH,601398.SH,601601.SH,601628.SH,601633.SH,601668.SH,601688.SH,601728.SH,601857.SH,601888.SH,601899.SH,601919.SH,601995.SH,603259.SH,603288.SH,603501.SH,603986.SH
2021/3/1,10.58,4.57,25.62,44.25,50.39,16.08,4.48,21.22,46.22,100.31,130.14,302.12,47.5,2158,22.36,90.36,53.14,37.68,29.63,104.3,310.52,12.02,43.8,62.85,19.67,109.41,35.45,17.82,13.85,24.91,16.56,3.25,84.84,51.86,5.34,43.56,33.06,31.83,5.06,17.07,,4.37,324.56,12.32,12.92,58.2,148.66,172.48,290.47,202.8
2021/3/2,10.47,4.38,25.16,43.5,49.55,16.02,4.38,20.89,45.01,98.35,122.42,292,46.84,2058,22.41,90.68,53.44,35.56,29.55,103.29,308.82,11.94,43,66.08,19.75,109.99,35.92,17.98,13.58,24.87,16.37,3.21,83.23,51.7,5.29,44,33.1,31.36,4.99,16.97,,4.27,316.1,11.75,11.63,56.92,142,169.63,295,204.66
2021/3/3,10.92,4.46,25.37,43.25,52.77,16.08,4.44,21.17,44.73,101.35,125.85,298.5,43.1,2140,22.49,92.35,54.28,35.8,29.44,107.14,316.52,12.13,43.67,65.85,20.03,108,36.46,18.36,13.9,25.97,16.6,3.28,86.75,54.98,5.45,45.31,34.03,31.87,5.02,17.24,,4.31,324.5,12.32,11.6,57.64,145.71,171.16,297.02,199
2021/3/4,10.88,4.45,24.81,40.99,52.4,15.62,4.41,20.72,42.7,100.5,114.32,282.7,38.79,2033,22.28,87.97,53.28,33.83,28.29,104.9,301.72,11.97,41.5,64.78,20.27,98.1,36.26,18.1,13.63,25.3,16.36,3.3,86.3,55.47,5.45,45.13,34.14,30.41,5.03,16.93,,4.33,309.63,11.45,10.8,54.4,138.48,164.5,275.98,194.01
2021/3/5,10.86,4.5,25.05,41.11,51.4,15.33,4.43,20.84,42.55,100.3,109.79,281.53,37.24,2060.11,22.16,89.06,51.21,33.11,28.14,106.15,310.78,12.12,41.46,59.27,20.2,99.44,37.32,18.18,13.75,24.8,16.47,3.35,84.5,53.33,5.57,43.08,33.33,31.5,5.03,17.26,,4.42,305.88,11,10.65,55.12,135.58,166.5,264.9,194.78
2021/3/8,10.75,4.56,24.54,39.71,49.93,15.18,4.5,20.45,40.3,92.12,107.89,256.06,33.78,1960,22.16,84.54,51.1,33.1,28,104.75,279.7,11.96,39.8,53.34,20.2,89.5,35.92,18.01,13.7,23.77,16.34,3.36,84.95,52.97,5.53,42.93,32.94,28.77,4.99,17.16,,4.51,278.99,10.67,9.62,51.28,125.11,158.55,257.8,181
2021/3/9,10.73,4.52,23.75,36.89,48.5,15.06,4.4,20.46,39.69,91.78,104.02,241.77,32.4,1936.99,21.54,85.3,50.52,34.47,28.14,101.99,257.9,11.83,37.95,48.25,20.25,84,34.1,18.12,13.9,23.21,16.08,3.33,84.05,52.51,5.46,42.16,32.97,29.45,5.01,16.98,,4.47,282.29,10.71,10.27,47.99,126.21,153.67,247.98,173.42
2021/3/10,10.72,4.42,23.69,37.85,49.25,14.9,4.38,19.98,38.8,93.4,108.93,256.76,33.08,1970.01,21.29,84.77,51.01,33.97,28.97,100,283.69,11.72,38.42,48.48,19.9,85,32.89,17.97,13.73,22.89,16.02,3.36,83.28,50.99,5.4,41.4,31.6,30.73,4.95,16.89,,4.39,299.62,10.49,10.1,48.04,133.99,154.3,251.39,171.06
2021/3/11,10.9,4.48,24.03,38.15,51.97,15,4.42,20.07,39.47,93.48,110.75,269.33,34.58,2048,22.16,85.83,53.18,34.05,29.37,101.66,300.99,11.81,39.3,49.35,20.2,88.99,33.21,18.28,13.67,23.79,16.17,3.38,86.36,52.02,5.48,42.1,32.16,30.88,4.99,17.06,,4.44,301.78,11.54,11.05,49.15,139.5,157.6,260.13,173.74
2021/3/12,10.9,4.48,23.78,37.77,53.32,15.18,4.48,20.34,39.79,92.19,116.33,268.15,33.69,2026,21.78,87.8,54.42,33.13,29.99,99.06,312.8,11.87,39.48,48.21,21.32,91.08,32.88,18.57,13.53,23.92,16.21,3.38,85.55,51.39,5.44,41.67,32.05,30.6,5.12,17.01,,4.45,309.41,11.35,11.15,49.52,139.84,155.4,258.52,169
2021/3/15,11.12,4.61,23.26,35.88,53.11,14.98,4.54,20.08,39.94,89.59,113.28,258.2,31.1,1975.45,21.91,87.7,53.85,32.21,28.97,94,285.66,11.77,38.28,47.16,20.94,81.97,31.66,19.2,13.32,24.09,16.13,3.42,85.11,51.63,5.55,41.5,31.81,29.55,5.18,16.78,,4.51,297.8,11.25,10.91,47.1,129.21,149.3,243.1,153.37
2021/3/16,11.11,4.55,23.4,35.2,54.32,15.58,4.57,20.31,39.83,89.19,117.19,262.38,31.19,2010.5,22.01,85.73,54,32.9,29.49,96.86,302.03,11.83,39.02,46.48,20.91,81.6,31.63,19.04,13.47,24.61,16.22,3.41,85.4,52.04,5.6,43.12,32.6,29.81,5.19,16.76,,4.47,296.57,11.11,11.41,47.62,130.5,151.95,248.06,155.52
2021/3/17,10.92,4.46,23.64,36.33,53.4,15.32,4.5,20.52,39.89,88.62,118,268.86,31.76,2030.36,22.05,89.5,53.07,32.98,30.4,103.05,306.85,11.81,39.59,47.31,20.42,82.66,31.75,18.97,13.55,23.98,16.19,3.4,82.54,49.9,5.53,41.58,31.98,29.9,5.16,16.78,,4.44,308.07,11.09,12.55,47.8,130.3,152.87,258.2,168.88
2021/3/18,11.03,4.44,23.55,37,54.24,15.25,4.49,20.42,40.18,89.21,118.18,273.18,32.6,2069.7,22.27,89,52.95,33.4,30.57,100,322.11,11.83,40.15,48.1,20.43,82.85,32.08,18.92,13.52,23.86,16.19,3.39,81.42,49.78,5.48,40.43,32.15,30.18,5.16,16.84,,4.41,312.7,11.18,12.96,48.95,133.98,157.27,258.61,166.8
2021/3/19,10.65,4.26,23.98,36.03,51.76,14.66,4.37,20.04,39.65,88.05,115.24,263.91,30.83,2010,22.15,85.01,51.56,32.42,29.67,97.79,313,11.71,38.96,48.62,20.47,78.96,31.63,18.7,13.5,23.22,16.11,3.34,79.64,49.03,5.36,38.55,31.08,28.8,5.05,16.65,,4.32,306.56,10.83,12.57,48.7,126.31,152.05,258.43,170
2021/3/22,10.75,4.29,24.15,36.81,53.78,14.68,4.39,20.51,39.91,88.11,110.3,263.1,31.42,1989.99,22.01,87.39,51.98,34.1,29.97,97.33,315.8,11.86,39.25,47.93,21.21,80.05,32.13,18.71,13.55,23.63,16.29,3.39,79.82,49.11,5.42,37.94,31.56,29.39,5.21,16.99,,4.36,311.65,10.66,13.01,50.46,124.3,151.66,255.55,169.52
2021/3/23,10.78,4.26,24.06,35.78,53.48,14.51,4.3,20.35,39.97,87.65,108,263,31.02,1996,21.85,84.39,51.68,33.93,29.6,99.5,314.91,11.9,38.96,47.38,20.97,78.57,32.58,18.13,13.65,23.36,16.37,3.39,80.05,49.14,5.4,38.2,31.94,28.36,5.15,17.18,,4.32,300.02,10.13,12.18,50.67,123.31,148.5,253.56,168.2
2021/3/24,10.68,4.22,24.04,33.99,52.2,14.32,4.23,20.18,37.66,86.52,101.36,263.31,30.12,1989,21.8,82.78,50.73,33.82,29.2,98.21,318,11.92,39.1,44.55,20.78,76.79,32.62,17.78,13.86,22.56,16.38,3.4,79.01,48.11,5.41,37.16,31.77,27.76,5.15,17.14,,4.27,295.04,9.36,10.96,52.36,123.32,146.51,245.7,166.96
